Model,Field,Precision,Recall,F1
base_gpt5,Global,0.8677,0.9201,0.8918
agentes_gpt5,Global,0.8235,0.9297,0.8724
base_gemma3(12),Global,0.6061,0.6952,0.6432
agentes_gemma3(12),Global,0.5533,0.7118,0.6183
base_gemma3(27),Global,0.7471,0.7146,0.726
agentes_gemma3(27),Global,0.6105,0.7833,0.6822
base_gpt5,informacoesComplementares,0.9552,0.9997,0.9656
base_gpt5,jurisprudenciaCitada,0.9509,0.9704,0.958
base_gpt5,notas,0.9735,0.9814,0.9653
base_gpt5,referenciasLegislativas,0.9507,0.9612,0.9467
base_gpt5,tema,0.9822,0.9937,0.9799
base_gpt5,termosAuxiliares,0.3328,0.5897,0.4076
base_gpt5,teseJuridica,0.9563,0.9887,0.9711
agentes_gpt5,informacoesComplementares,0.9464,0.9981,0.9593
agentes_gpt5,jurisprudenciaCitada,0.9506,0.9868,0.9671
agentes_gpt5,notas,0.8448,0.9854,0.8706
agentes_gpt5,referenciasLegislativas,0.5735,0.9276,0.6688
agentes_gpt5,tema,0.9916,0.9992,0.9927
agentes_gpt5,termosAuxiliares,0.5544,0.8017,0.6474
agentes_gpt5,teseJuridica,0.9439,0.9962,0.9686
base_gemma3(12),informacoesComplementares,0.3414,0.9633,0.3525
base_gemma3(12),jurisprudenciaCitada,0.7359,0.6768,0.685
base_gemma3(12),notas,0.7237,0.8418,0.6678
base_gemma3(12),referenciasLegislativas,0.647,0.7266,0.6402
base_gemma3(12),tema,0.1875,0.8782,0.1863
base_gemma3(12),termosAuxiliares,0.293,0.4937,0.3547
base_gemma3(12),teseJuridica,0.7204,0.8422,0.7638
agentes_gemma3(12),informacoesComplementares,0.3833,0.9531,0.402
agentes_gemma3(12),jurisprudenciaCitada,0.6149,0.6915,0.6262
agentes_gemma3(12),notas,0.2047,0.8422,0.2605
agentes_gemma3(12),referenciasLegislativas,0.5866,0.7377,0.608
agentes_gemma3(12),tema,0.6929,0.8955,0.6575
agentes_gemma3(12),termosAuxiliares,0.3424,0.5628,0.4179
agentes_gemma3(12),teseJuridica,0.7224,0.8905,0.7875
base_gemma3(27),informacoesComplementares,0.8415,0.9891,0.8428
base_gemma3(27),jurisprudenciaCitada,0.8186,0.6938,0.7264
base_gemma3(27),notas,0.8069,0.8269,0.7076
base_gemma3(27),referenciasLegislativas,0.7144,0.7763,0.7016
base_gemma3(27),tema,0.9898,0.8887,0.8852
base_gemma3(27),termosAuxiliares,0.3166,0.5171,0.3759
base_gemma3(27),teseJuridica,0.837,0.8249,0.8175
agentes_gemma3(27),informacoesComplementares,0.2305,0.9561,0.2544
agentes_gemma3(27),jurisprudenciaCitada,0.7699,0.8041,0.7668
agentes_gemma3(27),notas,0.3369,0.9037,0.3919
agentes_gemma3(27),referenciasLegislativas,0.6027,0.8402,0.6666
agentes_gemma3(27),tema,0.5332,0.9065,0.5008
agentes_gemma3(27),termosAuxiliares,0.3699,0.6241,0.4553
agentes_gemma3(27),teseJuridica,0.7851,0.9281,0.8435
